"hid","act","subsidy","age","literate","voucher","stratum"
"1160",0,0,85,0,0,"20"
"1173",0,1,41,1,0,"21"
"1177",1,0,23,1,0,"17"
"1192",1,1,20,1,0,"21"
"1196",0,1,35,1,1,"24"
"1197",0,0,27,1,0,"23"
"1197",1,0,27,1,1,"23"
"1205",0,0,NA,0,0,"18"
"1206",1,1,41,1,0,"22"
"1206",0,1,41,1,0,"22"
"1207",0,1,75,0,0,"22"
"1210",0,0,NA,0,0,"23"
"1212",0,1,22,1,0,"23"
"1213",0,0,54,1,0,"21"
"1214",1,1,30,1,1,"21"
"1218",1,1,23,1,1,"23"
"1220",1,0,47,1,0,"24"
"1228",1,1,48,0,1,"22"
"1230",1,1,36,1,1,"23"
"1230",0,1,36,1,0,"23"
"1232",0,1,40,0,0,"22"
"1234",0,1,30,1,0,"22"
"1238",0,1,36,0,0,"17"
"1241",0,0,32,0,0,"23"
"1242",1,0,57,1,0,"18"
"1243",0,1,38,1,0,"24"
"1243",0,1,38,1,0,"24"
"1248",1,1,31,1,1,"22"
"1252",0,1,88,0,0,"18"
"1262",1,1,32,1,1,"24"
"1278",1,1,28,1,1,"21"
"1279",0,1,45,0,0,"19"
"1284",0,1,35,0,0,"24"
"1286",1,1,32,1,0,"21"
"1293",NA,1,56,0,NA,"20"
"1295",0,0,64,1,0,"22"
"1297",0,1,19,1,1,"23"
"1299",0,1,50,0,0,"24"
"1306",1,1,50,0,0,"24"
"1311",0,1,57,0,0,"20"
"1312",0,1,44,0,0,"22"
"1314",0,0,48,1,0,"21"
"1325",0,1,23,1,0,"24"
"1327",NA,1,40,1,NA,"22"
"1333",0,1,76,1,0,"24"
"1336",0,1,38,1,1,"23"
"1340",1,1,30,1,0,"21"
"1344",1,0,NA,0,0,"21"
"1354",0,0,67,0,0,"21"
"1378",0,1,NA,0,0,"18"
"1379",0,1,20,1,0,"23"
"1380",1,1,44,0,1,"24"
"1381",0,1,60,0,0,"22"
"1390",1,1,25,1,0,"22"
"1390",1,1,25,1,0,"22"
"1395",0,1,43,1,0,"22"
"1398",0,1,36,1,1,"23"
"1403",0,1,33,1,1,"22"
"1406",1,0,35,1,0,"24"
"1411",0,0,20,0,0,"24"
"1417",0,1,33,1,0,"24"
"1421",0,1,NA,0,0,"24"
"1422",NA,1,45,0,NA,"21"
"1425",0,1,47,1,0,"24"
"1428",0,0,28,1,0,"22"
"1443",0,1,NA,0,0,"21"
"1450",1,1,33,1,1,"22"
"1451",0,0,31,1,1,"24"
"1454",1,1,28,1,1,"23"
"1463",0,1,40,1,0,"21"
"1465",0,1,32,1,0,"22"
"1468",0,1,41,1,0,"22"
"1470",1,1,57,0,1,"23"
"1471",1,0,23,0,0,"24"
"1479",1,1,60,1,1,"21"
"1480",1,1,32,1,1,"23"
"1486",1,1,36,1,1,"23"
"1487",0,1,50,0,0,"17"
"1491",1,1,67,0,1,"22"
"1493",0,0,43,1,1,"22"
"1499",0,1,21,1,0,"17"
"1500",0,1,33,1,0,"24"
"1503",0,1,53,0,0,"24"
"1503",1,1,53,0,0,"24"
"1505",0,0,75,0,0,"21"
"1507",1,1,50,0,0,"22"
"1510",1,1,32,1,1,"22"
"1518",1,1,65,0,1,"21"
"1519",0,1,54,1,0,"20"
"1522",0,1,20,1,1,"24"
"1528",NA,0,42,1,NA,"20"
"1532",1,1,23,1,0,"24"
"1535",0,0,40,0,0,"24"
"1547",0,1,38,1,0,"22"
"1549",0,1,43,1,0,"24"
"1554",0,1,NA,0,0,"24"
"1555",0,0,18,1,0,"24"
"1556",0,0,NA,0,0,"24"
"1558",1,1,58,0,1,"23"
"1560",NA,1,65,0,NA,"19"
"1562",1,1,52,0,1,"21"
"1564",1,0,20,1,0,"23"
"1567",1,1,69,0,1,"22"
"1568",1,1,26,1,1,"21"
"1570",0,0,45,1,0,"23"
"1578",0,0,56,0,0,"22"
"1581",1,1,42,0,1,"23"
"1594",1,1,NA,0,0,"23"
"1597",0,1,21,1,0,"22"
"1601",0,1,32,1,0,"24"
"1603",0,1,26,1,0,"22"
"1604",1,1,44,0,1,"19"
"1606",0,1,48,1,0,"21"
"1610",0,0,24,1,0,"17"
"1615",1,1,29,0,1,"23"
"1617",1,1,37,1,1,"24"
"1619",1,1,45,1,1,"21"
"1630",1,1,40,0,1,"24"
"1633",0,1,62,0,0,"23"
"1636",NA,0,39,1,NA,"21"
"1638",0,0,70,0,0,"19"
"1640",1,1,40,1,1,"21"
"1640",1,1,40,1,1,"21"
"1642",0,0,62,1,0,"24"
"1643",0,0,32,0,1,"23"
"1659",1,1,26,0,1,"22"
"1659",1,1,26,0,1,"22"
"1670",0,0,40,1,0,"22"
"1676",0,1,66,0,0,"24"
"1692",0,1,39,1,0,"22"
"1693",1,1,25,0,1,"22"
"1707",0,1,NA,0,0,"20"
"1710",0,1,30,0,0,"21"
"1711",0,1,57,0,0,"23"
"1713",0,1,55,0,0,"21"
"1716",0,1,69,0,0,"24"
"1716",1,1,69,0,0,"24"
"1719",0,1,36,1,0,"22"
